country_iso3code,year,indicator_code,indicator_value
CPV,2022,NY.GDP.MKTP.CD,2247003347.63376
CPV,2021,NY.GDP.MKTP.CD,2051842609.64558
CPV,2020,NY.GDP.MKTP.CD,1821565617.6945
CPV,2023,SP.POP.TOTL,522331.0
CPV,2022,SP.POP.TOTL,519741.0
CPV,2021,SP.POP.TOTL,516649.0
CPV,2020,SP.POP.TOTL,514679.0
CRI,2023,NY.GDP.MKTP.CD,86497941439.0174
CRI,2022,NY.GDP.MKTP.CD,69243626028.5936
CRI,2021,NY.GDP.MKTP.CD,64960725734.1965
CRI,2020,NY.GDP.MKTP.CD,62395610760.0492
CRI,2023,SP.POP.TOTL,5105525.0
CRI,2022,SP.POP.TOTL,5081765.0
CRI,2021,SP.POP.TOTL,5059988.0
CRI,2020,SP.POP.TOTL,5034320.0
CUB,2020,NY.GDP.MKTP.CD,107351800000.0
CUB,2023,SP.POP.TOTL,11019931.0
CUB,2022,SP.POP.TOTL,11059820.0
CUB,2021,SP.POP.TOTL,11122168.0
CUB,2020,SP.POP.TOTL,11176354.0
CUW,2023,NY.GDP.MKTP.CD,3281419347.37053
CUW,2022,NY.GDP.MKTP.CD,3075180834.72417
CUW,2021,NY.GDP.MKTP.CD,2739608156.42458
CUW,2020,NY.GDP.MKTP.CD,2534327597.76536
CUW,2023,SP.POP.TOTL,147862.0
CUW,2022,SP.POP.TOTL,149996.0
CUW,2021,SP.POP.TOTL,152369.0
CUW,2020,SP.POP.TOTL,154947.0
CYM,2023,NY.GDP.MKTP.CD,7139428557.71423
CYM,2022,NY.GDP.MKTP.CD,6600843963.37585
CYM,2021,NY.GDP.MKTP.CD,6060026520.10608
CYM,2020,NY.GDP.MKTP.CD,5655358021.43209
CYM,2023,SP.POP.TOTL,73038.0
CYM,2022,SP.POP.TOTL,71591.0
CYM,2021,SP.POP.TOTL,70108.0
CYM,2020,SP.POP.TOTL,68684.0
CYP,2023,NY.GDP.MKTP.CD,33886930712.3394
CYP,2022,NY.GDP.MKTP.CD,30976176886.8521
CYP,2021,NY.GDP.MKTP.CD,30372874319.6285
CYP,2020,NY.GDP.MKTP.CD,25555093854.2968
CYP,2023,SP.POP.TOTL,1344976.0
CYP,2022,SP.POP.TOTL,1331370.0
CYP,2021,SP.POP.TOTL,1317309.0
CYP,2020,SP.POP.TOTL,1302247.0
CZE,2023,NY.GDP.MKTP.CD,343207874553.734
CZE,2022,NY.GDP.MKTP.CD,301831228325.556
CZE,2021,NY.GDP.MKTP.CD,290972714482.313
CZE,2020,NY.GDP.MKTP.CD,251109660602.536
CZE,2023,SP.POP.TOTL,10864042.0
CZE,2022,SP.POP.TOTL,10672118.0
CZE,2021,SP.POP.TOTL,10505772.0
CZE,2020,SP.POP.TOTL,10697858.0
DEU,2023,NY.GDP.MKTP.CD,4525703903627.53
DEU,2022,NY.GDP.MKTP.CD,4163596357879.39
DEU,2021,NY.GDP.MKTP.CD,4348297440387.53
DEU,2020,NY.GDP.MKTP.CD,3940142541354.1
DEU,2023,SP.POP.TOTL,83280000.0
DEU,2022,SP.POP.TOTL,83797985.0
DEU,2021,SP.POP.TOTL,83196078.0
DEU,2020,SP.POP.TOTL,83160871.0
DJI,2023,NY.GDP.MKTP.CD,4098530513.55777
DJI,2022,NY.GDP.MKTP.CD,3674298479.07676
DJI,2021,NY.GDP.MKTP.CD,3385825228.86997
DJI,2020,NY.GDP.MKTP.CD,3185150981.03207
DJI,2023,SP.POP.TOTL,1152944.0
DJI,2022,SP.POP.TOTL,1137096.0
DJI,2021,SP.POP.TOTL,1121248.0
DJI,2020,SP.POP.TOTL,1105188.0
DMA,2023,NY.GDP.MKTP.CD,653992592.592593
DMA,2022,NY.GDP.MKTP.CD,607159259.259259
DMA,2021,NY.GDP.MKTP.CD,555266666.666667
DMA,2020,NY.GDP.MKTP.CD,504214814.814815
DMA,2023,SP.POP.TOTL,66510.0
DMA,2022,SP.POP.TOTL,66826.0
DMA,2021,SP.POP.TOTL,67202.0
DMA,2020,SP.POP.TOTL,67573.0
DNK,2023,NY.GDP.MKTP.CD,407091920305.404
DNK,2022,NY.GDP.MKTP.CD,401945576107.963
DNK,2021,NY.GDP.MKTP.CD,408378204639.999
DNK,2020,NY.GDP.MKTP.CD,355631021931.621
DNK,2023,SP.POP.TOTL,5946952.0
DNK,2022,SP.POP.TOTL,5903037.0
DNK,2021,SP.POP.TOTL,5856733.0
DNK,2020,SP.POP.TOTL,5831404.0
DOM,2023,NY.GDP.MKTP.CD,121444279313.931
DOM,2022,NY.GDP.MKTP.CD,113537368176.13
DOM,2021,NY.GDP.MKTP.CD,94243425938.3647
DOM,2020,NY.GDP.MKTP.CD,78844656298.1776
DOM,2023,SP.POP.TOTL,11331265.0
DOM,2022,SP.POP.TOTL,11230734.0
DOM,2021,SP.POP.TOTL,11123476.0
DOM,2020,SP.POP.TOTL,11008300.0
DZA,2023,NY.GDP.MKTP.CD,247626161016.414
DZA,2022,NY.GDP.MKTP.CD,225638456572.143
DZA,2021,NY.GDP.MKTP.CD,186231205262.082
DZA,2020,NY.GDP.MKTP.CD,164873415325.201
DZA,2023,SP.POP.TOTL,46164219.0
DZA,2022,SP.POP.TOTL,45477389.0
DZA,2021,SP.POP.TOTL,44761099.0
DZA,2020,SP.POP.TOTL,44042091.0
ECU,2023,NY.GDP.MKTP.CD,118844826000.0
ECU,2022,NY.GDP.MKTP.CD,116586079000.0
ECU,2021,NY.GDP.MKTP.CD,107435101000.0
ECU,2020,NY.GDP.MKTP.CD,95865472000.0
ECU,2023,SP.POP.TOTL,17980083.0
ECU,2022,SP.POP.TOTL,17823897.0
ECU,2021,SP.POP.TOTL,17682454.0
ECU,2020,SP.POP.TOTL,17546065.0
EGY,2023,NY.GDP.MKTP.CD,396002496996.96
EGY,2022,NY.GDP.MKTP.CD,476747720364.742
EGY,2021,NY.GDP.MKTP.CD,424671765455.704
EGY,2020,NY.GDP.MKTP.CD,383817841547.099
EGY,2023,SP.POP.TOTL,114535772.0
EGY,2022,SP.POP.TOTL,112618250.0
EGY,2021,SP.POP.TOTL,110957008.0
EGY,2020,SP.POP.TOTL,109315124.0
ERI,2023,SP.POP.TOTL,3470390.0
ERI,2022,SP.POP.TOTL,3409447.0
ERI,2021,SP.POP.TOTL,3350183.0
ERI,2020,SP.POP.TOTL,3291271.0
ESP,2023,NY.GDP.MKTP.CD,1620090734956.89
ESP,2022,NY.GDP.MKTP.CD,1446498147749.03
ESP,2021,NY.GDP.MKTP.CD,1461244901852.69
ESP,2020,NY.GDP.MKTP.CD,1289783836971.21
ESP,2023,SP.POP.TOTL,48347910.0
ESP,2022,SP.POP.TOTL,47759127.0
ESP,2021,SP.POP.TOTL,47415794.0
ESP,2020,SP.POP.TOTL,47365655.0
EST,2023,NY.GDP.MKTP.CD,41291245222.1948
EST,2022,NY.GDP.MKTP.CD,38376046174.971
EST,2021,NY.GDP.MKTP.CD,37204563051.4723
EST,2020,NY.GDP.MKTP.CD,31820771493.8974
EST,2023,SP.POP.TOTL,1370286.0
EST,2022,SP.POP.TOTL,1348840.0
EST,2021,SP.POP.TOTL,1330932.0
EST,2020,SP.POP.TOTL,1329522.0
ETH,2023,NY.GDP.MKTP.CD,163697927593.982
ETH,2022,NY.GDP.MKTP.CD,126772703047.701
ETH,2021,NY.GDP.MKTP.CD,111261882958.426
ETH,2020,NY.GDP.MKTP.CD,107657734392.446
ETH,2023,SP.POP.TOTL,128691692.0
ETH,2022,SP.POP.TOTL,125384287.0
ETH,2021,SP.POP.TOTL,122138588.0
ETH,2020,SP.POP.TOTL,118917671.0
FIN,2023,NY.GDP.MKTP.CD,295532341254.907
FIN,2022,NY.GDP.MKTP.CD,280241515774.32
FIN,2021,NY.GDP.MKTP.CD,294223210496.119
FIN,2020,NY.GDP.MKTP.CD,270000311606.226
FIN,2023,SP.POP.TOTL,5583911.0
FIN,2022,SP.POP.TOTL,5556106.0
FIN,2021,SP.POP.TOTL,5541017.0
FIN,2020,SP.POP.TOTL,5529543.0
FJI,2023,NY.GDP.MKTP.CD,5442046565.04719
FJI,2022,NY.GDP.MKTP.CD,4969503560.7735
FJI,2021,NY.GDP.MKTP.CD,4305031630.81808
FJI,2020,NY.GDP.MKTP.CD,4432466237.09588
FJI,2023,SP.POP.TOTL,924145.0
FJI,2022,SP.POP.TOTL,919422.0
FJI,2021,SP.POP.TOTL,916711.0
FJI,2020,SP.POP.TOTL,914963.0
FRA,2023,NY.GDP.MKTP.CD,3051831611384.76
FRA,2022,NY.GDP.MKTP.CD,2796302210398.84
FRA,2021,NY.GDP.MKTP.CD,2966433692008.09
FRA,2020,NY.GDP.MKTP.CD,2647926055110.05
FRA,2023,SP.POP.TOTL,68287487.0
FRA,2022,SP.POP.TOTL,68065015.0
FRA,2021,SP.POP.TOTL,67842811.0
FRA,2020,SP.POP.TOTL,67601110.0
FRO,2023,NY.GDP.MKTP.CD,3907323961.33964
FRO,2022,NY.GDP.MKTP.CD,3566698397.6602
